show_id,type,title,cast,release_year,listed_in,plataforma,duration_len,duration_type
n5751,Movie,Blind Date,"Mélanie Bernier, Clovis Cornillac, Lilou Fogli, Philippe Duquesne, Grégoire Oestermann, Oscar Copp, Boris Terral, Manu Payet",2015,"Comedies, International Movies, Music & Musicals",netflix,91,min
n5752,TV Show,DEATH NOTE,"Kappei Yamaguchi, Alessandro Juliani, Mamoru Miyano, Brad Swaile, Ai Satou, Saffron Henderson, Akeno Watanabe, Lisa Ann Beley, Aya Hirano, Shannon Chan-Kent, Haruka Kudo, Kelly Metzger, Hideo Ishikawa, Brian Dobson, Hiroki Takahashi, Sam Vincent, Shido Nakamura, Brian Drummond, Naoya Uchida, Chris Britton",2006,"Anime Series, Crime TV Shows, International TV Shows",netflix,1,Season
n5753,TV Show,Spotless,"Marc-André Grondin, Denis Ménochet, Miranda Raison, Doug Allen, Liam Garrigan, Ciarán Owens, Kate Magowan, Tanya Fear, Naomi Radcliffe, Lucy Akhurst, Jemma Donovan, Niall Hayes, Brendan Coyle",2015,"Crime TV Shows, International TV Shows, TV Dramas",netflix,1,Season
n5754,TV Show,Vampire Knight,"Daisuke Kishio, Ezra Weisz, Mamoru Miyano, Vic Mignogna, Yui Horie, Mela Lee, Risa Mizuno, Stephanie Sheh, Junichi Suwabe, Troy Baker, Jun Fukuyama, Bryce Papenbrook, Mai Nakahara, Laura Bailey, Soichiro Hoshi, Steve Staley, Susumu Chiba, Spike Spencer, Hiroki Yasumoto, Travis Willingham, Fumiko Orikasa, Wendee Lee",2008,"Anime Series, International TV Shows, Romantic TV Shows",netflix,2,season
n5755,Movie,Sky Ladder: The Art of Cai Guo-Qiang,Cai Guo-Qiang,2016,Documentaries,netflix,80,min
n5756,Movie,Mascots,"Carrie Aizley, Sarah Baker, Bob Balaban, Ed Begley Jr., Tom Bennett, Maria Blasucci, Jennifer Coolidge, Kerry Godliman, Matt Griesser, Christopher Guest, John Michael Higgins, Michael Hitchcock, Don Lake, Jane Lynch, Christopher Moynihan, Chris O'Dowd, Jim Piddock, Parker Posey, Harry Shearer, Fred Willard, Zach Woods, Susan Yeagley",2016,Comedies,netflix,95,min
n5757,Movie,Justin Timberlake + the Tennessee Kids,Justin Timberlake,2016,Music & Musicals,netflix,90,min
n5758,Movie,13TH,sin datos,2016,Documentaries,netflix,101,min
n5759,Movie,Russell Peters: Almost Famous,Russell Peters,2016,Stand-Up Comedy,netflix,73,min
n5760,TV Show,StoryBots Super Songs,"Judy Greer, Jeff Gill, Erin Fitzgerald, Fred Tatasciore, Gregg Spiridellis",2016,Kids' TV,netflix,1,Season
n5761,Movie,The Siege of Jadotville,"Jamie Dornan, Guillaume Canet, Emmanuelle Seigner, Jason O'Mara, Mikael Persbrandt, Mark Strong, Michael McElhatton, Danny Sapani, Sam Keeley, Ronan Raftery, Mike Noble, Charlie Kelly, Conor MacNeill, Fionn O'Shea, Conor Quinlan, Jordan Mifsud",2016,"Action & Adventure, Dramas, International Movies",netflix,108,min
n5762,Movie,LEGO Jurassic World: The Indominus Escape,"A.J. LoCascio, Sendhil Ramamurthy, Fred Tatasciore, Jake Johnson, Lauren Lapkus, Zachary Levi, BD Wong, David Gunning",2016,"Children & Family Movies, Comedies",netflix,25,min
n5763,TV Show,Be with Me,"Jason Tsou, Queen Wei, River Huang, Fabien Yang, Tang Chen-Kang, Figaro Tseng",2015,"International TV Shows, Romantic TV Shows, TV Dramas",netflix,1,Season
n5764,TV Show,Be with You,"Bobby Dou, Peijia Huang, Nylon Chen, Vivi Lee, Edison Wang, Serena Fang",2015,"International TV Shows, Romantic TV Shows, TV Dramas",netflix,1,Season
n5765,Movie,Bombshell,"Ande Cunningham, Mark Mitchinson, Mia Pistorius, Nathalie Boltt, Nathan Lovejoy, Colin Moy, Jay Simon, Coen Falke, Greta Gregory, Byron Coll",2016,Dramas,netflix,86,min
n5766,Movie,Chatô: The King of Brazil,"Marco Ricca, Andrea Beltrão, Letícia Sabatella, Leandra Leal, Gabriel Braga Nunes, Paulo Betti, Marcos Oliveira, Eliane Giardini",2015,"Dramas, International Movies",netflix,105,min
n5767,TV Show,Fall in Love with Me,"Aaron Yan, Tia Lee, Jack Lee, Katherine Wang, Beatrice Fang, Vince Kao, Chen Bor Jeng",2014,"International TV Shows, Romantic TV Shows, TV Comedies",netflix,1,Season
